id,name,obcn,location,latitude,longitude,status
234,(GDL-167) C. Rio San Juan de Dios/Blvrd. Garc,GDL-167,TLQ-CORREDORATLAS,20.64962,-103.32356,IN_SERVICE
235,(GDL-168) Av. Rio Nilo / C. Ram�n Pacheco,GDL-168,TLQ-CORREDORATLAS,20.64874,-103.31939,IN_SERVICE
236,(GDL-169) Blvrd. Garc�a Barrag�n/ C. Rio Zapo,GDL-169,TLQ-CORREDORATLAS,20.64707,-103.32147,IN_SERVICE
237,(GDL-170)  C. Relojeros/ C. Chamizal,GDL-170,TLQ-CORREDORATLAS,20.64698,-103.30619,IN_SERVICE
238,(GDL-171) C. Maquinistas / C. San Rafael,GDL-171,TLQ-CORREDORATLAS,20.6461,-103.3102,IN_SERVICE
239,(GDL-172) C. Chamizal / Av. Rio Nilo,GDL-172,TLQ-CORREDORATLAS,20.64434,-103.30678,IN_SERVICE
240,(GDL-173) C. Caballerango / C. Caporales,GDL-173,TLQ-CORREDORATLAS,20.64504,-103.30518,IN_SERVICE
241,(GDL-174) C. Juan de Zum�rraga / Av. Tepeyac,GDL-174,POL�GONO CENTRAL,20.6641,-103.4003,IN_SERVICE
242,(GDL-175) C. Ermita / C. San Uriel,GDL-175,POL�GONO CENTRAL,20.66234072,-103.3981344,IN_SERVICE
243,(GDL-176) C. San Bonifacio/ Paseo Benedictino,GDL-176,POL�GONO CENTRAL,20.67276201,-103.3976249,IN_SERVICE
244,(GDL-177) C. Fray Fco Frejes / C. Fco Zarco,GDL-177,POL�GONO CENTRAL,20.68669,-103.37657,IN_SERVICE
246,(GDL-178) C Salvador Quevedo/C L�pez Portillo,GDL-178,POL�GONO CENTRAL,20.685108,-103.333746,IN_SERVICE
247,(GDL-179) C. Monte C�ucaso / C. Sierra Nevada,GDL-179,POL�GONO CENTRAL,20.68795,-103.33343,IN_SERVICE
248,(GDL-180) C. Montes Pirineos/Salvador Quevedo,GDL-180,POL�GONO CENTRAL,20.68692,-103.33467,IN_SERVICE
249,(GDL-181) C.Ignacio Rmrz / Av Plan de San Lui,GDL-181,POL�GONO CENTRAL,20.69705,-103.36322,IN_SERVICE
250,Ex-GDL-182 Av. Plan de San Luis / Av. Enr�que,Ex-GDL-182,POL�GONO CENTRAL,20.6969715,-103.3581976,NOT_IN_SERVICE
251,(TLQ-006) C. Miguel Hidalgo / Calz. Revoluci�,TLQ-006,TLQ-CORREDORATLAS,20.639042,-103.301239,IN_SERVICE
